Date,Open_Yahoo,High_Yahoo,Low_Yahoo,Close_Yahoo,Volume_Yahoo,Open_Alpha,High_Alpha,Low_Alpha,Close_Alpha,Volume_Alpha,Open_Diff,High_Diff,Low_Diff,Close_Diff,Volume_Diff,Status
2026-04-17,395.92,409.28,391.65,400.62,90640000,395.92,409.28,391.65,400.62,90640032,0.0,0.0,0.0,0.0,32,Match
2026-04-20,402.58,406.8,388.33,392.5,64603900,402.58,406.8,388.33,392.5,64603868,0.0,0.0,0.0,0.0,32,Match
2026-04-21,393.0,393.95,385.22,386.42,50530600,393.0,393.95,385.2201,386.42,50530611,0.0,0.0,9.999999997489795e-05,0.0,11,Match
2026-04-22,387.57,393.01,385.3,387.51,62362800,387.57,393.01,385.3,387.51,62362785,0.0,0.0,0.0,0.0,15,Match
2026-04-23,375.28,386.0,368.39,373.72,93969500,375.28,386.0,368.39,373.72,93969510,0.0,0.0,0.0,0.0,10,Match
2026-04-24,373.5,382.76,370.73,376.3,62893300,373.5,382.76,370.73,376.3,62893307,0.0,0.0,0.0,0.0,7,Match
2026-04-27,372.09,380.78,364.02,378.67,66735800,372.09,380.78,364.02,378.67,66735816,0.0,0.0,0.0,0.0,16,Match
2026-04-28,374.68,382.29,372.54,376.02,50864400,374.675,382.29,372.54,376.02,50864357,0.0049999999999954525,0.0,0.0,0.0,43,Match
2026-04-29,375.4,376.4,370.04,372.8,45384800,375.4,376.4,370.04,372.8,45384836,0.0,0.0,0.0,0.0,36,Match
2026-04-30,372.75,384.75,368.17,381.63,51076000,372.75,384.75,368.17,381.63,51076041,0.0,0.0,0.0,0.0,41,Match
2026-05-01,382.49,397.82,378.8,390.82,65338300,382.485,397.8211,378.8,390.82,65338257,0.0049999999999954525,0.0011000000000080945,0.0,0.0,43,Match
2026-05-04,390.23,394.64,384.8,392.51,48765100,390.23,394.64,384.8004,392.51,48765143,0.0,0.0,0.0004000000000132786,0.0,43,Match
2026-05-05,395.19,402.12,389.0,389.37,47780600,395.185,402.12,389.0,389.37,47780631,0.0049999999999954525,0.0,0.0,0.0,31,Match
2026-05-06,386.25,401.68,384.02,398.73,53465400,386.25,401.68,384.02,398.73,53465365,0.0,0.0,0.0,0.0,35,Match
2026-05-07,407.48,415.83,402.12,411.79,64294200,407.48,415.83,402.12,411.79,64294224,0.0,0.0,0.0,0.0,24,Match
2026-05-08,416.48,431.2,416.39,428.35,65050000,416.475,431.2,416.39,428.35,65049970,0.0049999999999954525,0.0,0.0,0.0,30,Match
2026-05-11,422.16,449.16,416.8,445.0,78376100,422.16,449.16,416.8,445.0,78376127,0.0,0.0,0.0,0.0,27,Match
2026-05-12,441.41,447.8,422.26,433.45,60569300,441.41,447.8,422.26,433.45,60569303,0.0,0.0,0.0,0.0,3,Match
2026-05-13,436.67,453.4,430.21,445.27,68283200,436.665,453.4,430.21,445.27,68283229,0.0049999999999954525,0.0,0.0,0.0,29,Match
2026-05-14,446.49,451.98,441.16,443.3,46070400,446.49,451.98,441.16,443.3,46070361,0.0,0.0,0.0,0.0,39,Match
2026-05-15,433.98,434.66,422.0,422.24,52688700,433.98,434.66,422.0,422.24,52688742,0.0,0.0,0.0,0.0,42,Match
2026-05-18,419.27,421.13,405.33,409.99,52474200,419.27,421.13,405.33,409.99,52474188,0.0,0.0,0.0,0.0,12,Match
2026-05-19,403.16,405.63,393.63,404.11,46500600,403.16,405.63,393.63,404.11,46500551,0.0,0.0,0.0,0.0,49,Match
2026-05-20,407.6,417.46,406.39,417.26,45294700,407.6,417.46,406.39,417.26,44484579,0.0,0.0,0.0,0.0,810121,Mismatch
2026-05-21,422.18,426.95,412.9,417.85,42636900,422.175,426.95,412.9,417.85,42636854,0.0049999999999954525,0.0,0.0,0.0,46,Match
2026-05-22,422.67,431.51,420.51,426.01,46104700,422.665,431.51,420.51,426.01,46104710,0.0049999999999954525,0.0,0.0,0.0,10,Match
2026-05-26,430.26,435.2,426.12,433.59,45658900,430.26,435.2,426.12,433.59,45658897,0.0,0.0,0.0,0.0,3,Match
2026-05-27,442.89,445.6,435.52,440.36,44656500,442.89,445.6,435.52,440.36,44656505,0.0,0.0,0.0,0.0,5,Match
2026-05-28,437.62,443.96,436.3,442.1,32435000,437.615,443.96,436.3,442.1,32434996,0.0049999999999954525,0.0,0.0,0.0,4,Match
2026-05-29,439.85,441.07,428.14,435.79,45176800,439.845,441.07,428.14,435.79,45176821,0.0049999999999954525,0.0,0.0,0.0,21,Match
2026-06-01,427.49,429.6,415.43,415.88,44937900,427.49,429.6,415.43,415.88,44937852,0.0,0.0,0.0,0.0,48,Match
2026-06-02,418.22,424.42,413.65,423.74,37596000,418.22,424.42,413.65,423.74,37596045,0.0,0.0,0.0,0.0,45,Match
